Timestamp,Beekeeper Name: ,Date:,Bee Yard,Hive Number or Name:,Number of Boxes ,Temper on a scale of 1 (chill) to 3 (feisty),Does this hive have a honey super and was it filled?,Frames of bees: Top box,Frames of bees: Bottom box,Frames of Brood: Top box,Frames of Brood: Bottom box,Mite Count: Top box,Mite Count: Bottom box,Food Frame: Nectar,Food Frame: Pollen,Larvae?,Eggs?,Was the queen found and marked?,Drones?,Recommended action ,Disease,Comments
9/8/2019 21:29:51,Joel,8/20/2019,Holding Yard,58,nuc,1,No,,NA,,NA,,,Yes,No,Did not check,Did not check,Numbered,No,Now,,In need of pollen 
9/8/2019 21:31:35,Joel,8/20/2019,Holding Yard,26,nuc,0,No,,NA,,NA,,,Did not check,Did not check,Did not check,Did not check,Numbered,No,None,,The queen has been freed. 
9/8/2019 21:33:28,Joel,8/20/2019,Holding Yard,38,NA,1,Did not check,,NA,,NA,,,Yes,Did not check,Did not check,Did not check,Red,Did not check,None,,She is on her way out. 
9/8/2019 21:38:31,Joel,8/20/2019,Holding Yard,31,NA,1.5,Did not check,,NA,,NA,,,Did not check,Did not check,Did not check,Did not check,Green,Did not check,None,,I am assuming this is green queen. The note on the entry is that the queen has been freed. 
9/8/2019 21:41:16,Joel,8/20/2019,Holding Yard,A,nuc,1,No,,NA,,NA,,,Did not check,Did not check,Did not check,Did not check,Green,Did not check,Normal check in 2 weeks,,The queen has been freed. Serious queens 3-4. 
9/8/2019 21:45:25,Joel,8/20/2019,Holding Yard,B,nuc,2,No,,NA,,NA,,,Did not check,Did not check,Did not check,Did not check,Numbered,Did not check,Normal check in 2 weeks,,
9/8/2019 21:50:41,Joel,8/20/2019,Holding Yard,48,NA,0,Did not check,,NA,,NA,,,Did not check,Did not check,Did not check,Did not check,Did not check,Did not check,None,,5 queens are alive
9/7/2019 10:49:11,Joel,9/3/2019,Research Yard,48,1,1,No,,NA,,NA,,,Did not check,Did not check,Did not check,Did not check,Numbered,Did not check,None,,All of the queens are alive 
9/7/2019 10:57:49,Joel,9/3/2019,Research Yard,A-AI-Q,1,1,No,,NA,,NA,,,Did not check,Did not check,Did not check,No,Numbered,Did not check,None,,One serious queen cell 
9/7/2019 11:00:10,Joel,9/3/2019,Research Yard,B-AI-Q,1,1.5,No,,NA,,NA,,,Did not check,Did not check,Did not check,Yes,Numbered,Did not check,None,,
9/7/2019 11:02:27,Joel,9/3/2019,Research Yard,49,1,2,No,,10,,3,,,Did not check,Did not check,Yes,Yes,Not Found,Did not check,Within the next week,,There is a laying worker. 
9/7/2019 11:08:31,Joel,9/3/2019,Research Yard,C,nuc,1.5,No,,NA,,NA,,,Did not check,Did not check,Did not check,Yes,Not Found,Did not check,Within the next week,,Queen cells 
9/7/2019 11:12:52,Joel,9/3/2019,Research Yard,46,2,1,Did not check,5,10,1.5,3,,,Yes,Yes,Yes,Yes,Not Found,No,Normal check in 2 weeks,,Serious queen cells and needs new box. 
9/8/2019 22:11:43,Joel,9/3/2019,Holding Yard,26,nuc,1.5,No,,NA,,NA,,,Did not check,Did not check,Did not check,No,Green,No,None,,No foragers 
9/8/2019 22:15:52,Joel,9/3/2019,Holding Yard,30,1,0,No,,NA,,NA,,,Did not check,Did not check,Did not check,No,Numbered,No,None,,New AI queen
9/8/2019 22:17:18,Joel,9/3/2019,Holding Yard,71,1,1.5,No,,3,,NA,,,Yes,Yes,Yes,Yes,Not Found,No,None,,
9/8/2019 22:29:37,Joel,9/3/2019,Holding Yard,78,1,2,No,,NA,,NA,,,Did not check,Yes,Did not check,Did not check,Did not check,Did not check,None,,Strong
9/7/2019 11:15:05,Joel,9/4/2019,Holding Yard,59,1,1,Did not check,,10,,6,,,Yes,Yes,Yes,Yes,Green,No,None,,
9/7/2019 11:17:09,Joel,9/4/2019,Holding Yard,65,2,2,Partial,8,8,2,0.5,,,Yes,Yes,Yes,No,Not Found,No,None,,
9/7/2019 11:20:56,Joel,9/4/2019,Holding Yard,75,1,2,Did not check,,10,1,4,,,Yes,Yes,Yes,No,Not Found,No,None,,
9/7/2019 11:22:43,Joel,9/4/2019,Holding Yard,60,2,1.5,Did not check,10,10,6,1.5,,,Yes,Yes,Yes,Yes,Red,Did not check,None,,
9/7/2019 11:24:31,Joel,9/4/2019,Holding Yard,74 former 76?,1,1.5,Did not check,,10,,5.5,,,Yes,Yes,Yes,Yes,Yellow,Did not check,None,,
9/7/2019 11:25:46,Joel,9/4/2019,Holding Yard,40,2,2,Did not check,3,10,0,5.5,,,Yes,Yes,Yes,Yes,Not Found,Did not check,None,,
9/8/2019 21:54:34,Joel,9/4/2019,Holding Yard,11,1,1.5,Partial,,9,,9,,,Yes,Yes,Yes,Yes,Green,Yes,Within the next week,,Removed two brood frames. Moved one frame of brood to 53. Moved one frame of brood to 58. NEEDS A SECOND BOX. This hive is strong. 
9/8/2019 21:56:11,Joel,9/4/2019,Holding Yard,15,1,0,No,,10,,8,,,No,No,Did not check,Did not check,Did not check,Did not check,Now,,In need of food. Needs nectar and pollen. 
9/8/2019 21:57:33,Joel,9/4/2019,Holding Yard,30,1,0,Did not check,,NA,,NA,,,Did not check,Did not check,Did not check,Did not check,Numbered,Did not check,None,,New AI queen
9/8/2019 22:03:09,Joel,9/4/2019,Holding Yard,57,2,1.5,No,8,5,5,2,,,Yes,Yes,Yes,Yes,Not Found,Did not check,None,Spotty brood,
9/8/2019 22:04:44,Joel,9/4/2019,Holding Yard,7,2,1,No,6,5,3,3.5,,,Yes,Yes,Yes,Yes,Not Found,No,None,,
