Next Check,To Do,Date,Yard,Hive,Boxes,Temper,Bees Top,Bees Bottom,Brood Top,Brood Bottom,Brood Total,Uncapped?,Pollen,Nectar?,Queen?,Quen Cells,Drones,Disease?,Comment,Priority,,
,,16-Aug,Holding,6,1,,,,0,0,0,,yes,yes,Queenless,,,,,,,
,,16-Aug,Holding,7,2,ok,,,3.5,4,7.5,yes,yes,yes,Yellow,no,no,,,,,
,,22-Aug,Holding,9,2,1.5,,,1,5,6,yes,yes,yes,Green,,,1 brood to 26,,,,
26-Aug,Check for green Queen,23-Aug,Holding,10,1,2,,,,,,,,,New Q today,removed,,Unaccepted green Q from 78,,,,
,,12-Aug,Holding,11,Single,3,,,,,,,,,eggs seen,,,,,,,
,,12-Aug,Holding,15,Single,3,,,,,,,,,eggs seen,,,,,,,
,,22-Aug,Holding,26,Nuc,3?,,,N/A,1.5,1.5,yes,yes,yes,"Yellow, old 81",,,"81 was mean, got new Queen",,,,
26-Aug,Check for green Queen,23-Aug,Holding,30,1,2.5,,,,,,,,,Queen flew Off!,,,,,,,
,,19-Aug,Holding,40,1,1.5,,,0,2,2,yes,yes,yes,eggs seen,no,no,Strong,,,,
,,14-Aug,Holding,54,2,1,,,1.5,0.5,2,yes,yes,yes,eggs,no,Drones,Hive Beetle,,,,
,,13-Aug,Holding,56,2,1.5,,,1.25,1.75,,YES,4 FULL!,YES,Marked yellow today,,,Self-Raised,,,,
,,15-Aug,Holding,57,2,1,,,4,2.5,6.5,yes,yes,yes,eggs,no,DWV?,2 eggs in 1?,,,,
,Check Sep 18th,3-Sep,Holding,59,1,1,N/A,10,N/A,6,6,yes,yes,yes,Green,,,Weak Queen?,,,,
18-Sep,Check & Brood Pattern,3-Sep,Holding,60,2,1.5,10,10,6,1.5,7.5,yes,yes,yes,Red,,,,,,,
,,22-Aug,Holding,61,1,1.5,,,N/A,4,4,yes,yes,yes,"Yellow, eggs",,,Packed to 1,,,,
,Check Temper,26-Aug,Holding,63,1,2,,,N/A,10,N/A,,,YES,YES,YES,SELF-RAISED AGAIN,,,,,
9-Sep,Check: QL?,3-Sep,Holding,65,2.5,2,8,8,2,5,7,yes,yes,yes,"no eggs, not seen",,,,,,,
,,21-Aug,Holding,66,1,3,,,,,,,,,New Q today,,,Check Friday,,,,
,,14-Aug,Holding,67,1,1,,,N/A,1.5,N/A,yes,yes,yes,"Not seen, eggs",Full Q Cell,Many,Moth,Requeen,,,
,,22-Aug,Holding,68,2,1,,,2,,,yes,yes,yes,"Weak, few eggs",,,Weak,,,,
,,22-Aug,Holding,69,2,2,,,4.5,3.5,8,yes,yes,yes,Yellow ,,,,,,,
,,19-Aug,Holding,70,2.5,,,,,,,,,,EGGS,,,Very Strong,,,,
,,23-Aug,Holding,71,1,,,,,,,,,,Queen almost free,,,,,,,
,,22-Aug,Holding,72,2&2,1.5,,,4,3,7,yes,yes,yes,eggs,no,,Took Brood for Genesis,,,,
28-Aug,Check,15-Jul,Holding,73,1,2,,,,,,,yes,yes,"green, and eggs",,,,,,,
18-Sep,Check & Temper,3-Sep,Holding,75,1.5,2,N/A,10,1,4,5,yes,yes,yes,eggs,no,no,Brood in Honey super,,,,
18-Sep,Check & Temper,3-Sep,Holding,74,1,1.5,N/A,10,N/A,5.5,5.5,yes,yes,yes,yellow,,,,,,,
